,ID,Group,Sex,Age,Age_cat,r_to_all_adults,s_to_all_adults,r_to_group,r_to_adults,r_to_children,N_camps_w_kin,s_to_group,s_to_adults,N_camps_w_con_or_aff_kin
135,135,e,M,6.5,CHILD,0.008511589,0.007380074,0.1328125,0.113636364,0.142857143,2,0.125,0.181818182,NA
136,136,e,M,2.25,CHILD,0.008511589,0.007380074,0.1328125,0.113636364,0.142857143,2,0.125,0.181818182,NA
137,137,e,M,50.125443,ADULT,0.006481481,0.013888889,0.0625,0.05,0.068181818,4,0.09375,0.15,6
138,138,e,F,46.667627,ADULT,0.002314815,0.005555556,0.0625,0.05,0.068181818,3,0.09375,0.15,6
139,139,e,M,19.365157,ADULT,0.00625,0.011574074,0.078125,0.1,0.068181818,4,0.109375,0.2,NA
140,140,e,F,12.41,CHILD,0.008071956,0.013376384,0.078125,0.136363636,0.047619048,4,0.109375,0.227272727,NA
141,141,e,F,5.93344,CHILD,0.008071956,0.013376384,0.078125,0.136363636,0.047619048,4,0.109375,0.227272727,NA
142,142,e,M,1.16,CHILD,0.008071956,0.013376384,0.078125,0.136363636,0.047619048,4,0.109375,0.227272727,NA
143,143,e,M,60.644116,ADULT,0.001851852,0.001851852,0.03125,0.05,0.022727273,3,0.03125,0.05,NA
144,144,e,F,18.603839,ADULT,0.006018519,0.001851852,0.03125,0.05,0.022727273,4,0.03125,0.05,NA
145,145,e,M,17,CHILD,0.007841328,0.003690037,0.03125,0.090909091,0,4,0.03125,0.090909091,NA
146,146,f,M,0.67,CHILD,0.015682657,0.023466328,0.158967391,0.1875,0.142241379,7,0.167798913,0.268382353,NA
147,147,f,M,30,ADULT,0,0.003703704,0.043478261,0,0.066666667,1,0.065217391,0.0625,9
148,148,f,F,13.43189596,CHILD,0.010147601,0.018392528,0.088994565,0.099264706,0.082974138,7,0.121603261,0.1875,NA
149,149,f,M,47.126942,ADULT,0.012962963,0.016666667,0.19701087,0.21875,0.185416667,2,0.176630435,0.28125,2
150,150,f,F,36.24847,ADULT,0.003703704,0.007407407,0.065217391,0.0625,0.066666667,1,0.086956522,0.125,2
151,151,f,M,23,ADULT,0.010185185,0.013888889,0.141983696,0.171875,0.126041667,1,0.142663043,0.234375,NA
152,152,f,F,21.13620808,ADULT,0.010185185,0.013888889,0.141983696,0.171875,0.126041667,1,0.142663043,0.234375,NA
153,153,f,M,13,CHILD,0.01199262,0.015682657,0.141983696,0.191176471,0.113146552,1,0.142663043,0.25,NA
154,154,f,M,10.25,CHILD,0.01199262,0.015682657,0.141983696,0.191176471,0.113146552,1,0.142663043,0.25,NA
155,155,f,M,3.13,CHILD,0.01199262,0.015682657,0.141983696,0.191176471,0.113146552,1,0.142663043,0.25,NA
156,156,f,F,0.88,CHILD,0.01199262,0.015682657,0.141983696,0.191176471,0.113146552,1,0.142663043,0.25,NA
157,157,f,M,38,ADULT,0.011111111,0.011934156,0.186141304,0.1875,0.185416667,2,0.140096618,0.201388889,10
158,158,f,F,29.547807,ADULT,0.012962963,0.022530864,0.112771739,0.0859375,0.127083333,9,0.13647343,0.180555556,10
159,159,f,M,6.58,CHILD,0.015682657,0.023466328,0.158967391,0.1875,0.142241379,7,0.167798913,0.268382353,NA
160,160,f,M,5.31,CHILD,0.015682657,0.023466328,0.158967391,0.1875,0.142241379,7,0.167798913,0.268382353,NA
161,161,f,F,1.82,CHILD,0.015682657,0.023466328,0.158967391,0.1875,0.142241379,7,0.167798913,0.268382353,NA
162,162,f,M,40.94,ADULT,0.008998843,0.003703704,0.139945652,0.0703125,0.177083333,5,0.076086957,0.0625,8
163,163,f,F,36.37,ADULT,0.005671296,0.008333333,0.054347826,0,0.083333333,5,0.076086957,0.0625,8
164,164,f,M,16.22,CHILD,0.01099804,0.009686347,0.108016304,0.091911765,0.117456897,7,0.086956522,0.117647059,NA
165,165,f,M,12.59,CHILD,0.01099804,0.009686347,0.108016304,0.091911765,0.117456897,7,0.086956522,0.117647059,NA
166,166,f,F,10.19,CHILD,0.01099804,0.009686347,0.108016304,0.091911765,0.117456897,7,0.086956522,0.117647059,NA
167,167,f,M,7.14,CHILD,0.01099804,0.009686347,0.108016304,0.091911765,0.117456897,7,0.086956522,0.117647059,NA
168,168,f,F,2.23,CHILD,0.01099804,0.009686347,0.108016304,0.091911765,0.117456897,7,0.086956522,0.117647059,NA
169,169,f,M,35.841004,ADULT,0.011892361,0.021759259,0.086956522,0,0.133333333,5,0.108695652,0.0625,8
170,170,f,F,32.791701,ADULT,0.008998843,0.003703704,0.15625,0.0703125,0.202083333,5,0.108695652,0.0625,8
171,171,f,M,15.02,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
172,172,f,F,12.185908,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
173,173,f,F,10.177785,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
174,174,f,M,6.863591,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
175,175,f,M,2.27382,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
176,176,f,M,5.751868,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
177,177,f,M,0.24,CHILD,0.014097094,0.016374539,0.132472826,0.091911765,0.15625,7,0.119565217,0.117647059,NA
